Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ГРП;№01150022;Хмільницький район село Бережани;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;01.Вер;01.Вер;1;1;1;1;1;1;1;3;2;2;2;2;1;2;1;1
ГРП;№01150023;Хмільницький район місто Калинівка Вінницька;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;03.Бер;03.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150024;Хмільницький район село Байківка;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;30.Кві;30.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150025;Хмільницький район село Нападівка;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;11.Бер;11.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150026;Хмільницький район село Пиків Соборна;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;22.Лип;22.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150027;Хмільницький район село Сальник Вишнева;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150028;Хмільницький район село Писарівка;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150029;Хмільницький район селище Рівнинне Т.Шевченко;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;05.Тра;05.Тра;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150030;Хмільницький район село Мончинці Садова;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150031;Хмільницький район село Жигалівка;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150032;Хмільницький район село Котюжинці Л.Українки;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;01.Лип;01.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150033;Хмільницький район село Дружелюбівка Миру;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;30.Лип;30.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150034;Хмільницький район село Іванів Шкільна;включене;20;19;21;21;21;20;21;20;19;20;18;19;21;20;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150035;Хмільницький район село Грушківці Садова;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150036;Хмільницький район село Шепіївка 8 Березня;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;24.Чер;24.Чер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150037;Хмільницький район село Черепашинці Покровська;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150038;Хмільницький район село Мирне Мічуріна;включене;15;14;17;16;16;11;10;8;5;7;6;5;10;3;31.Лип;31.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150039;Хмільницький район село Гущинці Незалежності;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150040;Хмільницький район село П.Лисіївка Пушкіна;включене;15;14;17;16;16;11;10;8;5;3;6;5;21;20;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150041;Хмільницький район село Дружне Братів Малогулків;включене;15;14;17;16;16;11;10;8;5;7;6;5;21;20;31.Бер;31.Бер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150042;Хмільницький район село Уладівське Семполовського;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150043;Хмільницький район село Вишневе Стельмаха;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150044;Хмільницький район село Антонопіль Олійничука;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150045;Хмільницький район село Люленці Сонячна;включене;9;7;7;2;6;3;3;01            29;29;2;28;29;7;6;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150046;Хмільницький район село Яблуневе Лісова;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150047;Хмільницький район село КорделівкаЗелена;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150048;Хмільницький район місто Калинівка;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150049;Хмільницький район місто Калинівка Українська;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150050;Хмільницький район місто Калинівка Незалежн67;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРП;№01150051;Хмільницький район місто Калинівка Промислова;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150052;Хмільницький район місто Калинівка Нестерчука;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРП;№01150053;Хмільницький район місто Калинівка І.Мазепи;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;26.Тра;26.Тра;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ГРП;№01150054;Хмільницький район село Корделівка Київська 1а;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;17.Лип;17.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150001;Хмільницький район місто Калинівка Українська;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;17.Лип;17.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150002;Хмільницький район місто Калинівка Українська;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150003;Хмільницький район місто Калинівка Механізаторів;включене;22;21;24;15;23;23;23;22;22;9;21;22;18;18;16.Лип;16.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150004;Хмільницький район селище Гулівці Привокзальна;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;23.Вер;23.Вер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ШГРП;№01150005;Хмільницький район місто Калинівка Варшицька;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;16.Лип;16.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150006;Хмільницький район селище Гулівці Пушкіна;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;23.Вер;23.Вер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ШГРП;№01150007;Хмільницький район місто Калинівка В.Нестурчака;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ШГРП;№01150008;Хмільницький район село Нападівка Сонячна;включене;10;10;12;11;12;12;14;13;12;13;12;12;18;18;01.Вер;01.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150009;Хмільницький район місто Калинівка Промислова;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;24.Вер;24.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150011;Хмільницький район місто Калинівка Мазепи;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;01.Вер;01.Вер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;3;3
ШГРП;№01150012;Хмільницький район місто Калинівка Коцюбинського;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;24.Вер;24.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150013;Хмільницький район місто Калинівка Шевченко;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;08.Вер;08.Вер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;3;3
ШГРП;№01150014;Хмільницький район місто Калинівка Маяковського;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;08.Вер;08.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150015;Хмільницький район місто Калинівка Промислова;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;24.Вер;24.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150016;Хмільницький район місто Калинівка Колгоспна;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;08.Вер;08.Вер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;3;3
ШГРП;№01150017;Хмільницький район місто Калинівка В. Стуса;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;24.Вер;24.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150018;Хмільницький район місто Калинівка Незалежності;включене;23;18;18;15;13;6;7;5;2;9;3;2;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ШГРП;№01150019;Хмільницький район місто Калинівка Левадна;включене;23;18;18;15;13;6;7;5;2;9;3;3;18;18;17.Лип;17.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150020;Хмільницький район місто Калинівка Волинця;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;25.Кві;25.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150021;Хмільницький район село Радівка Коцюбинського;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;25.Кві;25.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150022;Хмільницький район село Радівка Матросова;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150023;Хмільницький район село Корделівка Партизанська;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150024;Хмільницький район село Корделівка Соборна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150025;Хмільницький район село  Павлівка Миру;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Сер;15.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150026;Хмільницький район село Павлівка Камяна;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;09.Вер;09.Вер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;3;3
ШГРП;№01150027;Хмільницький район місто Калинівка В.Стуса;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;28.Кві;28.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150028;Хмільницький район село Радівка Центральна;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;28.Кві;28.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150029;Хмільницький район село Радівка А.Пачевського;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150030;Хмільницький район село Радівка Космічна;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;05.Бер;05.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150031;Хмільницький район село Хомутинці Руданського;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;26.Бер;26.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150032;Хмільницький район село Глинськ Пушкіна;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150033;Хмільницький район село Глинськ Гагаріна;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;11;13;26.Бер;26.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150034;Хмільницький район село Глинськ Гостинна;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;15.Сер;15.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150035;Хмільницький район село Павлівка Мізяківська;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150036;Хмільницький район  село Хомутинці Переможна ;включене;6;5;7;1;01            30;27;28;27;26;2;21;19;17;8;27.Тра;27.Тра;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150037;Хмільницький район село Корделівка Соборна;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;05.Бер;05.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150038;Хмільницький район село Хомутинці Першотравнева;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;16.Лип;16.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150039;Хмільницький район селище Гулівці Пушкіна;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;24.Кві;24.Кві;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150040;Хмільницький район село М.Кутищі В.Ліпського;включене;9;7;7;7;6;3;3;01            29;6;6;28;29;7;6;19.Сер;19.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150041;Хмільницький район село Павлівка Стельмаха;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;24.Кві;24.Кві;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150042;Хмільницький район село М.Кутищі Пушкіна;включене;9;7;7;7;6;3;3;01            29;6;6;28;29;7;6;03.Бер;03.Бер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150043;Хмільницький район село Байківка Надрічна;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150044;Хмільницький район село М.Кутищі В.Ліпського;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;1;1;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150045;Хмільницький район село Радівка Н.Сотні;включене;10;10;12;11;12;12;14;13;12;13;12;12;1;1;09.Кві;09.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150046;Хмільницький район село Лемешівка Перемоги;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150047;Хмільницький район село Лемешівка Шкільна;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;20.Тра;20.Тра;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150048;Хмільницький район село Бережани Миру;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;15.Лип;15.Лип;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ШГРП;№01150049;Хмільницький район село Бережани Липнева;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;09.Кві;09.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150050;Хмільницький район село Лемешівка Вишнева;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150051;Хмільницький район село Лемешівка Садова;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150052;Хмільницький район село Глинськ Миру;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;7;6;22.Кві;22.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150053;Хмільницький район село Лемешівка Гагаріна;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;19.Сер;19.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150054;Хмільницький район село Павлівка Шкільна;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150055;Хмільницький район село Павлівка Сонячна;включене;21;20;20;17;15;19;9;7;4;8;7;8;17;8;27.Бер;27.Бер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150056;Хмільницький район село Глинськ Березіна;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;31.Бер;31.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150057;Хмільницький район село Панасівка Весела;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;27.Бер;27.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150058;Хмільницький район село Глинськ Басса;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;28.Бер;28.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150059;Хмільницький район село Глинськ Ковалівська;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;11.Бер;11.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150060;Хмільницький район село Пиків Соборна;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;07.Тра;07.Тра;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150061;Хмільницький район село Писарівка Коцюбинського;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150062;Хмільницький район  село Жигалівка Огородня ;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150063;Хмільницький район село Лемешівка Весела;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;24.Лип;24.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150064;Хмільницький район село Прилуцьке Л.Українки;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;09.Вер;09.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150065;Хмільницький район місто Калинівка Пирогова;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150066;Хмільницький район місто Калинівка Пирогова;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150067;Хмільницький район  село Сальник Жовтнева;включене;17;17;19;18;19;18;18;18;17;17;14;15;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150068;Хмільницький район  село Грушківці Шкільна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150069;Хмільницький район село Монченці Нова;включене;10;10;12;11;12;12;14;13;12;13;12;12;1;1;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150070;Хмільницький район село Пиків Шкорби;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;25.Бер;25.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150071;Хмільницький район село  Пиків Коцюбинського;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150072;Хмільницький район село Іванів Соборна;включене;20;19;21;21;21;20;21;20;19;20;18;18;1;1;19.Сер;19.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150073;Хмільницький район село Павлівка Мізяківська;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150074;Хмільницький район село Павлівка пров.Мізяківський;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150075;Хмільницький район село Жигалівка Миру;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150076;Хмільницький район село Сальник Вінницька;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150077;Хмільницький район село Монченці Першотравн.;включене;10;10;12;11;12;12;14;13;12;13;12;12;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150078;Хмільницький район село Котюжинці Зелена;включене;15;14;17;16;16;11;10;8;5;7;6;5;16;7;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150079;Хмільницький район село Котюженці Садова;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150080;Хмільницький район село Іванів Орсівська;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;20.Лип;20.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
