Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ШГРП;№01150109;Хмільницький район село Черепашинці Прибережна ;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150110;Хмільницький район село Нова Гребля ;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150111;Хмільницький район село ГущинціШевченко;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;11.Вер;11.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150112;Хмільницький район місто Калинівка Незалежності;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150113 ;Хмільницький район село  Нова ГребляКоцюбинського;включене;15;14;17;14;16;11;10;8;5;10;6;5;21;20;28.Бер;28.Бер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150114;Хмільницький район село Глинськ Миру;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150115;Хмільницький район село  Чернятин;включене;15;14;17;14;16;11;10;8;5;10;6;5;21;20;28.Тра;28.Тра;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150116;Хмільницький район село  Загребельня Пушкіна;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;02.Чер;02.Чер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150117;Хмільницький район село Загребельня Руданського;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;02.Чер;02.Чер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ШГРП;№01150118;Хмільницький район село  Загребельня;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;04.Чер;04.Чер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150119;Хмільницький район село Корделівка Зарічна;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;15.Лип;15.Лип;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ШГРП;№01150120;Хмільницький район село Корделівка;включене;13;12;14;14;14;13;11;11;10;10;10;10;21;20;24.Лип;24.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150121;Хмільницький район село Л.Лисіївка Калинівська;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;28.Бер;28.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150122;Хмільницький район село Глинськ Миру;включене;7;4;6;2;02            29;26;25;25;25;2;20;18;2;2;25.Чер;25.Чер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150123;Хмільницький район село Заливанщина ;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;11.Вер;11.Вер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ШГРП;№01150124;Хмільницький район місто Калинівка Воззєднання ;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150125;Хмільницький район місто Калинівка ;включене;22;21;24;23;23;23;23;22;22;22;21;22;21;20;04.Сер;04.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150126;Хмільницький район село Камяногірка Шкільна;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;04.Сер;04.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150127;Хмільницький район село Камяногірка Садова;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150128;Хмільницький район місто Калинівка Незалежнст (АТП);включене;23;18;18;15;13;6;7;5;2;9;3;3;21;20;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150129;Хмільницький район село Міз.Слобідка;включене;21;20;20;17;15;10;9;7;4;8;7;8;21;20;14.Сер;14.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150130;Хмільницький район село Мізяківська Слобідка ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150131;Хмільницький район село Мізяківська Слобідка ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;12.Сер;12.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150132;Хмільницький район село Мізяків;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150133;Хмільницький район село Мізяків ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;12.Сер;12.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150134;Хмільницький район село Мізяків ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150135;Хмільницький район село Мізяків ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;12.Сер;12.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150136;Хмільницький район село Мізяків ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;12.Сер;12.Сер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
